app_du,row_count,train_valid_split_end,test_rows,context_window,horizons,estimated_predictions_per_horizon,request_cores_source,request_cores_value,planned_worker,estimated_runtime_wall_ms_from_calibration,estimated_fit_eval_ms_from_calibration,planned_forecasting_raw_output,planned_forecasting_summary_output,planned_predictions_output,planned_policy_raw_output,planned_policy_summary_output,planned_policy_delta_output,planned_policy_series_output,planned_resource_trace_output,planned_report_output
app_1797,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_1825,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_1826,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2024,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2128,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2241,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2264,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2296,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2324,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2497,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2557,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_263,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2660,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2695,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2754,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,4.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2819,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,1,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
app_2856,11520,9792,1728,60,1|5|10,1659,median_container_request_cores,8.0,0,55777.602829999974,55752.78494000004,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_forecasting_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_predictions.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_raw.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_summary.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_delta_by_service.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\service_qlr_policy_series.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\broad_resource_trace.csv,D:\Desktop\Cluster Computing\paper-workbench-full\Users\liujinchun\Downloads\skills_codex\paper-workbench\experiments\results\qlr_service_broad\qlr_service_broad_report.md
